URL,Rate,NameResort,Stars,KmFreeride,Continent,Country,State/Province,Altitude,Easy,Intermediate,Difficult,Adult,Currency,SkiResortSize ,VarietyOfRuns,LiftsAndCableCars,SnowReliability,OnSiteParking,InformationBoardsSignPostings,CleanlinessAndHygiene,EnvironmentallyFriendly,MountainRestaurants,ApresSki,AccommodationAtSlopesAndLifts,FamiliesAndChildren,Beginners,SnowParks,CrossCountryTrails,Country,Latitude,Longitude,TotalKms
http://www.skiresort.info/ski-resort/kreischberg/,3.9, Kreischberg,4.0,0.0,Europe,Austria,Styria (Steiermark),2118.0,17.0,16.0,9.0,"44,50",European Euro,"3,0",4.0,"4,0",4.0,"3,0","4,0","4,0","4,0","4,0","4,0","3,0","5,0","4,0","4,0","3,0",AT,47.516231,14.550072,42
http://www.skiresort.info/ski-resort/fellhornkanzelwand-oberstdorfriezlern/,3.9, Fellhorn/Kanzelwand – Oberstdorf/Riezlern,4.0,2.0,Europe,Austria,Vorarlberg,1967.0,13.0,19.0,2.0,47,European Euro,"3,0",4.0,"4,0",4.0,"4,0","4,0","4,0","4,0","4,0","3,0","3,0","4,0","3,0","5,0","5,0",AT,47.516231,14.550072,34
http://www.skiresort.info/ski-resort/hinterstoder-hoess/,3.9, Hinterstoder – Höss,4.0,0.0,Europe,Austria,Upper Austria (Oberosterreich),2000.0,12.0,18.0,10.0,"43,50",European Euro,"3,0",4.0,"4,0",4.0,"4,0","4,0","4,0","4,0","4,0","4,0","4,0","5,0","4,0","4,0","3,0",AT,47.516231,14.550072,40
http://www.skiresort.info/ski-resort/axamer-lizum/,3.8,Axamer Lizum,5.0,0.0,Europe,Austria,Tyrol (Tirol),2340.0,7.0,21.0,2.0,"38,50",European Euro,"3,0",4.0,"3,0",4.0,"4,0","4,0","4,0","4,0","4,0","3,0","3,0","3,0","4,0","4,0","2,0",AT,47.516231,14.550072,30
http://www.skiresort.info/ski-resort/st-jakob-im-defereggental-brunnalm/,3.8,. St. Jakob im Defereggental – Brunnalm,3.0,6.7,Europe,Austria,Tyrol (Tirol),2525.0,4.7,11.1,1.2,"46,50",European Euro,"3,0",4.0,"4,0",5.0,"2,0","4,0","4,0","4,0","3,0","3,0","3,0","4,0","4,0","4,0","4,0",AT,47.516231,14.550072,17
http://www.skiresort.info/ski-resort/pitztal-glacier-pitztaler-gletscher/,3.8,. Pitztal Glacier (Pitztaler Gletscher),3.0,0.0,Europe,Austria,Tyrol (Tirol),3440.0,3.8,16.2,0.7,50,European Euro,"3,0",4.0,"4,0",5.0,"3,0","4,0","4,0","4,0","3,0","3,0","2,0","3,0","4,0","5,0","4,0",AT,47.516231,14.550072,20
http://www.skiresort.info/ski-resort/bad-kleinkirchheim/,3.8, Bad Kleinkirchheim,4.0,5.0,Europe,Austria,Carinthia (Karnten),2055.0,18.0,77.0,8.0,47,European Euro,"4,0",4.0,"3,0",4.0,"4,0","4,0","4,0","4,0","5,0","3,0","4,0","5,0","3,0","3,0","3,0",AT,47.516231,14.550072,103
http://www.skiresort.info/ski-resort/riesneralm-donnersbachwald/,3.8, Riesneralm – Donnersbachwald,4.0,0.0,Europe,Austria,Styria (Steiermark),1820.0,20.0,9.0,3.0,41,European Euro,"3,0",4.0,"4,0",4.0,"3,0","4,0","5,0","4,0","4,0","3,0","3,0","5,0","5,0","2,0","3,0",AT,47.516231,14.550072,32
http://www.skiresort.info/ski-resort/brandnertal-brandbuerserberg/,3.8,. Brandnertal – Brand/Bürserberg,3.0,13.0,Europe,Austria,Vorarlberg,2000.0,22.0,30.0,3.0,"47,50",European Euro,"3,0",4.0,"4,0",4.0,"4,0","4,0","4,0","4,0","4,0","3,0","4,0","4,0","3,0","4,0","4,0",AT,47.516231,14.550072,55
http://www.skiresort.info/ski-resort/ehrwalder-alm-ehrwald/,3.8,. Ehrwalder Alm – Ehrwald,3.0,0.0,Europe,Austria,Tyrol (Tirol),1923.0,18.1,7.4,2.0,44,European Euro,"3,0",3.0,"5,0",4.0,"4,0","4,0","5,0","4,0","4,0","3,0","2,0","5,0","5,0","4,0","4,0",AT,47.516231,14.550072,27
http://www.skiresort.info/ski-resort/schlick-2000-fulpmes/,3.7,. Schlick 2000 – Fulpmes,3.0,1.5,Europe,Austria,Tyrol (Tirol),2240.0,12.0,6.8,3.2,"38,50",European Euro,"3,0",4.0,"4,0",4.0,"4,0","4,0","4,0","4,0","4,0","3,0","2,0","4,0","5,0","2,0","2,0",AT,47.516231,14.550072,22
http://www.skiresort.info/ski-resort/see/,3.7, See,4.0,0.0,Europe,Austria,Tyrol (Tirol),2456.0,8.0,25.0,8.0,"40,50",European Euro,"3,0",4.0,"4,0",4.0,"5,0","4,0","4,0","5,0","4,0","3,0","4,0","4,0","4,0","1,0","1,0",AT,47.516231,14.550072,41
http://www.skiresort.info/ski-resort/loser-altaussee/,3.7, Loser – Altaussee,4.0,0.0,Europe,Austria,Styria (Steiermark),1770.0,18.0,12.0,3.0,41,European Euro,"3,0",4.0,"4,0",4.0,"3,0","4,0","4,0","4,0","4,0","3,0","4,0","4,0","5,0","2,0","3,0",AT,47.516231,14.550072,33
http://www.skiresort.info/ski-resort/kaunertal-glacier-kaunertaler-gletscher/,3.7,Kaunertal Glacier (Kaunertaler Gletscher),5.0,0.0,Europe,Austria,Tyrol (Tirol),3108.0,13.0,5.1,2.7,44,European Euro,"3,0",4.0,"4,0",5.0,"2,0","4,0","4,0","4,0","3,0","1,0","1,0","4,0","4,0","5,0","2,0",AT,47.516231,14.550072,20
http://www.skiresort.info/ski-resort/filzmoos/,3.7,. Filzmoos,2.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1645.0,6.0,6.0,1.0,43,European Euro,"2,3",2.5,"3,4",,,,,,,,,,,,,AT,47.516231,14.550072,13
http://www.skiresort.info/ski-resort/ifen/,3.7, Ifen,4.0,1.2,Europe,Austria,Vorarlberg,2030.0,10.6,6.2,2.2,47,European Euro,"2,0",4.0,"4,0",3.0,"3,0","5,0","4,0","4,0","3,0","3,0","1,0","3,0","4,0","1,0","1,0",AT,47.516231,14.550072,19
http://www.skiresort.info/ski-resort/christlum-achenkirch/,3.7,. Christlum – Achenkirch,3.0,0.0,Europe,Austria,Tyrol (Tirol),1800.0,6.0,16.0,5.0,44,European Euro,"2,0",3.0,"4,0",4.0,"4,0","4,0","4,0","3,0","3,0","4,0","3,0","4,0","2,0","3,0","5,0",AT,47.516231,14.550072,27
http://www.skiresort.info/ski-resort/bergeralm-steinach-am-brenner/,3.7,. Bergeralm – Steinach am Brenner,3.0,1.0,Europe,Austria,Tyrol (Tirol),2180.0,10.0,10.0,9.0,"38,50",European Euro,"3,0",4.0,"4,0",4.0,"4,0","4,0","5,0","4,0","3,0","3,0","2,0","4,0","3,0","1,0","5,0",AT,47.516231,14.550072,29
http://www.skiresort.info/ski-resort/moelltal-glacier-moelltaler-gletscher/,3.7, Moelltal Glacier (Mölltaler Gletscher),4.0,6.7,Europe,Austria,Carinthia (Karnten),3122.0,5.2,7.2,5.0,"46,50",European Euro,"3,0",4.0,"4,0",5.0,"3,0","4,0","4,0","3,0","3,0","2,0","2,0","3,0","4,0","3,0","3,0",AT,47.516231,14.550072,17
http://www.skiresort.info/ski-resort/lachtal/,3.7,. Lachtal,3.0,10.0,Europe,Austria,Styria (Steiermark),2222.0,7.0,16.0,2.0,41,European Euro,"3,0",4.0,"4,0",4.0,"3,0","4,0","4,0","4,0","4,0","3,0","4,0","4,0","4,0","1,0","2,0",AT,47.516231,14.550072,25
http://www.skiresort.info/ski-resort/gargellen/,3.7, Gargellen,4.0,3.0,Europe,Austria,Vorarlberg,2300.0,20.8,5.3,2.0,"47,50",European Euro,"3,0",4.0,"4,0",4.0,"3,0","4,0","5,0","4,0","4,0","3,0","4,0","4,0","5,0","2,0","1,0",AT,47.516231,14.550072,28
http://www.skiresort.info/ski-resort/berwangbichlbachrinnen/,3.7,. Berwang/Bichlbach/Rinnen,2.0,0.0,Europe,Austria,Tyrol (Tirol),1743.0,24.5,10.0,1.5,43,European Euro,"3,0",3.0,"4,0",4.0,"4,0","3,0","4,0","4,0","4,0","3,0","4,0","5,0","5,0","2,0","4,0",AT,47.516231,14.550072,36
http://www.skiresort.info/ski-resort/rauriser-hochalmbahnen-rauris/,3.7,. Rauriser Hochalmbahnen – Rauris,3.0,5.0,Europe,Austria,Salzburg (Salzburger Land),2175.0,15.0,12.5,5.0,"42,50",European Euro,"3,0",4.0,"4,0",4.0,"3,0","4,0","4,0","5,0","4,0","3,0","3,0","4,0","4,0","3,0","3,0",AT,47.516231,14.550072,32
http://www.skiresort.info/ski-resort/grosseckspeiereck-mauterndorfst-michael/,3.7,. Grosseck/Speiereck – Mauterndorf/St. Michael,3.0,0.0,Europe,Austria,Salzburg (Salzburger Land),2400.0,26.0,17.0,7.0,41,European Euro,"3,0",4.0,"4,0",4.0,"4,0","4,0","4,0","3,0","4,0","3,0","2,0","5,0","4,0","1,0","4,0",AT,47.516231,14.550072,50
